words
Bank draft
Bond
Carbon copy
Card 
Cash
Certified copy
Cheque
Courier
Stamp
Facsimile
Fax
Hard copy
In writing
Ink
Mail
Microfiche
Newspaper
Original copy
Paper
Pen
Pencil
Post
Print
Printout
Scan
Seal
Telex
Written
